,subnum,trial,level,response,correctanswer,age.yrs,correct,rt1,coder,male,g.present,size,size.codable,rt2,base.threshold,motor.threshold,spatial.threshold,motor.effect,spatial.effect,difficulty,movesmin,movesmax,verbalizing,max.diff,min.diff,movestype,prop.moves,movestype.01,year,answered,timeout,difficulty.course,problem1,problem2,problem3,problem4,problem5,problem6,problem7,problem8,problem9,problem10,problem11,problem12,moves
1,1201,1,1,53,53,13.84931507,1,6.75,RESOLVED,1,1,2,0,9.04,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,-4.703125,,,1,,,,,,y2011,1,0,Below Threshold,10,43,0,0,0,0,0,0,0,0,0,0,4
2,1201,2,1,50,50,13.84931507,1,2.25,RESOLVED,1,1,2,0,4.01,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,-4.703125,2,5,1,2,-1,same,1.666666667,no,y2011,1,0,Below Threshold,10,40,0,0,0,0,0,0,0,0,0,0,3
3,1201,3,1,18,18,13.84931507,1,2.14,RESOLVED,1,1,1,0,3.38,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,-4.703125,2,3,1,0,-1,same,1,no,y2011,1,0,Below Threshold,8,10,0,0,0,0,0,0,0,0,0,0,3
4,1201,4,2,29,29,13.84931507,1,3.05,RESOLVED,1,1,2,0,4.31,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,-3.703125,,,,,,,,,y2011,1,0,Below Threshold,26,3,0,0,0,0,0,0,0,0,0,0,4
5,1201,5,2,60,60,13.84931507,1,3.67,RESOLVED,1,1,2,0,4.14,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,-3.703125,2,3,0,-3,-4,skip,0.5,skip,y2011,1,0,Below Threshold,45,15,0,0,0,0,0,0,0,0,0,0,6
6,1201,6,2,93,93,13.84931507,1,2.26,RESOLVED,1,1,2,0,3.3,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,-3.703125,,,,,,,,,y2011,1,0,Below Threshold,73,20,0,0,0,0,0,0,0,0,0,0,4
7,1201,7,3,100,100,13.84931507,1,3.45,RESOLVED,1,1,2,0,5.17,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,-2.703125,,,0,,,,,,y2011,1,0,Below Threshold,85,15,0,0,0,0,0,0,0,0,0,0,8
8,1201,8,3,154,154,13.84931507,1,2.77,AS,1,1,3,0,3.66,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,-2.703125,,,,,,,,,y2011,1,0,Below Threshold,95,59,0,0,0,0,0,0,0,0,0,0,9
9,1201,9,3,114,114,13.84931507,1,3.27,AS,1,1,3,0,4,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,-2.703125,,,,,,,,,y2011,1,0,Below Threshold,46,68,0,0,0,0,0,0,0,0,0,0,8
10,1201,10,4,209,209,13.84931507,1,4.26,AS,1,1,3,0,5.91,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,-1.703125,,,,,,,,,y2011,1,0,Below Threshold,96,16,97,0,0,0,0,0,0,0,0,0,14
11,1201,11,4,225,225,13.84931507,1,3.94,AS,1,1,3,0,4.66,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,-1.703125,,,,,,,,,y2011,1,0,Below Threshold,96,49,80,0,0,0,0,0,0,0,0,0,11
12,1201,12,4,148,148,13.84931507,1,4.34,AS,1,1,4,0,5.51,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,-1.703125,,,,,,,,,y2011,1,0,Below Threshold,14,42,92,0,0,0,0,0,0,0,0,0,10
13,1201,13,5,-1,326,13.84931507,0,10,AS,1,1,4,0,10,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,-0.703125,,,,,,,,,y2011,0,1,Below Threshold,79,96,66,85,0,0,0,0,0,0,0,0,17
14,1201,14,5,316,311,13.84931507,0,1.74,AS,1,0,,1,2.98,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,-0.703125,,,,,,,,,y2011,1,0,Below Threshold,93,68,76,74,0,0,0,0,0,0,0,0,17
15,1201,15,5,194,193,13.84931507,0,4.76,AS,1,1,4,0,7.23,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,-0.703125,,,,,,,,,y2011,1,0,Below Threshold,39,66,17,71,0,0,0,0,0,0,0,0,16
16,1201,46,6,180,180,13.84931507,1,6.12,LT,1,1,2,1,7.28,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,0.296875,,,,,,,,,y2011,1,0,Threshold and Above,59,21,30,47,23,0,0,0,0,0,0,0,18
17,1201,47,6,164,166,13.84931507,0,5.93,LT,1,1,1,1,7.12,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,0.296875,,,,,,,,,y2011,1,0,Threshold and Above,84,19,23,17,23,0,0,0,0,0,0,0,19
18,1201,48,6,228,228,13.84931507,1,5.51,LT,1,1,2,1,6.75,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,0.296875,,,,,,,,,y2011,1,0,Threshold and Above,44,31,92,43,18,0,0,0,0,0,0,0,18
19,1201,49,7,310,310,13.84931507,1,6.03,LT,1,1,2,1,6.77,5.703125,5.421875,4.565217391,-0.049315068,-0.199523526,1.296875,,,,,,,,,y2011,1,0,Threshold and Above,90,98,44,11,26,41,0,0,0,0,0,0,24
